,Grand Total,,,Container,,,Dry Bulk,,,General Cargo,,,LNG/LPG,,,Passenger,,,Ro-Ro,,,Tanker,,
Registry,Number of Ships,GT,DWT,Number of Ships,GT,DWT,Number of Ships,GT,DWT,Number of Ships,GT,DWT,Number of Ships,GT,DWT,Number of Ships,GT,DWT,Number of Ships,GT,DWT,Number of Ships,GT,DWT
sinful city,100,50,75,10,5,15,10,5,15,10,10,15,10,5,15,10,5,5,25,10,5,25,10,5
sinter city,100,50,75,10,5,15,10,5,15,10,10,15,10,5,15,10,5,5,25,10,5,25,10,5
dick city,100,50,75,10,5,15,10,5,15,10,10,15,10,5,15,10,5,5,25,10,5,25,10,5
rick city,100,50,75,10,5,15,10,5,15,10,10,15,10,5,15,10,5,5,25,10,5,25,10,5
flint,100,50,75,10,5,15,10,5,15,10,10,15,10,5,15,10,5,5,25,10,5,25,10,5
france,100,50,75,10,5,15,10,5,15,10,10,15,10,5,15,10,5,5,25,10,5,25,10,5
germany,100,50,75,10,5,15,10,5,15,10,10,15,10,5,15,10,5,5,25,10,5,25,10,5
jerusalem,100,50,75,10,5,15,10,5,15,10,10,15,10,5,15,10,5,5,25,10,5,25,10,5
fuck,100,50,75,10,5,15,10,5,15,10,10,15,10,5,15,10,5,5,25,10,5,25,10,5
cun,100,50,75,10,5,15,10,5,15,10,10,15,10,5,15,10,5,5,25,10,5,25,10,5
shitty,100,50,75,10,5,15,10,5,15,10,10,15,10,5,15,10,5,5,25,10,5,25,10,5
china,100,50,75,10,5,15,10,5,15,10,10,15,10,5,15,10,5,5,25,10,5,25,10,5
lol city,100,50,75,10,5,15,10,5,15,10,10,15,10,5,15,10,5,5,25,10,5,25,10,5
not the greatest city,100,50,75,10,5,15,10,5,15,10,10,15,10,5,15,10,5,5,25,10,5,25,10,5
sorted city,100,50,75,10,5,15,10,5,15,10,10,15,10,5,15,10,5,5,25,10,5,25,10,5
cerebral city,100,50,75,10,5,15,10,5,15,10,10,15,10,5,15,10,5,5,25,10,5,25,10,5 
